City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Baykit,61.67,96.37,-37.5,100,100,2.21,RU,01/10/2023
Ushuaia,-54.8,-68.3,49.66,81,0,16.11,AR,01/10/2023
Pacific Grove,36.6177,-121.9166,55.42,82,100,6.91,US,01/10/2023
Sainte-Maxime,43.3,6.6333,51.01,63,99,6.69,FR,01/10/2023
Provideniya,64.3833,-173.3,6.91,61,20,22.37,RU,01/10/2023
Dikson,73.5069,80.5464,-30.6,98,48,4.74,RU,01/10/2023
Ribeira Grande,38.5167,-28.7,59.77,64,12,11.01,PT,01/10/2023
Port Blair,11.6667,92.75,82.44,65,20,11.5,IN,01/10/2023
Ubari,26.5921,12.7805,48.92,42,0,5.59,LY,01/10/2023
Barra de Tecoanapa,16.5167,-98.75,75.96,76,0,4.47,MX,01/10/2023
Kununurra,-15.7667,128.7333,94.98,49,82,6.91,AU,01/10/2023
Jamestown,42.097,-79.2353,32.02,72,75,5.75,US,01/10/2023
Kavaratti,10.5669,72.642,79.9,59,75,2.71,IN,01/10/2023
Portland,45.5234,-122.6762,49.35,80,100,13.8,US,01/10/2023
Mataura,-46.1927,168.8643,64.45,44,48,6.17,NZ,01/10/2023
Sur,22.5667,59.5289,75.58,68,0,7.34,OM,01/10/2023
Port Elizabeth,-33.918,25.5701,72.32,89,75,5.75,ZA,01/10/2023
Yellowknife,62.456,-114.3525,-12.44,100,38,4.07,CA,01/10/2023
Busselton,-33.65,115.3333,77.58,43,0,10.2,AU,01/10/2023
Mehamn,71.0357,27.8492,24.75,80,0,8.05,NO,01/10/2023
Rikitea,-23.1203,-134.9692,78.8,76,69,14.61,PF,01/10/2023
Birao,10.2849,22.7882,63.99,24,8,10.65,CF,01/10/2023
Sitka,57.0531,-135.33,39.09,87,100,5.75,US,01/10/2023
Albany,42.6001,-73.9662,26.56,71,95,1.01,US,01/10/2023
Hobart,-42.8794,147.3294,84.27,50,20,16.11,AU,01/10/2023
Oussouye,12.485,-16.5469,73.49,20,92,8.1,SN,01/10/2023
Berlevåg,70.8578,29.0864,24.8,80,20,18.41,NO,01/10/2023
Punta Arenas,-53.15,-70.9167,48.31,87,0,2.3,CL,01/10/2023
Kapaa,22.0752,-159.319,78.78,79,75,3.44,US,01/10/2023
Matara,5.9485,80.5353,79.12,71,4,5.44,LK,01/10/2023
Banda Aceh,5.5577,95.3222,80.92,67,99,2.93,ID,01/10/2023
Yelizovo,53.1873,158.3805,10.54,43,0,7.0,RU,01/10/2023
Hong Kong,22.2855,114.1577,68.05,88,100,4.0,HK,01/10/2023
Upernavik,72.7868,-56.1549,-23.42,98,63,7.11,GL,01/10/2023
Caravelas,-17.7125,-39.2481,75.11,92,100,4.29,BR,01/10/2023
Bluff,-46.6,168.3333,56.35,67,17,10.11,NZ,01/10/2023
Salalah,17.0151,54.0924,68.09,68,0,5.75,OM,01/10/2023
Antalaha,-14.9003,50.2788,77.31,81,76,2.95,MG,01/10/2023
Cape Town,-33.9258,18.4232,62.11,82,0,3.44,ZA,01/10/2023
Vaini,-21.2,-175.2,87.96,79,75,6.91,TO,01/10/2023
Barrow,71.2906,-156.7887,-14.78,84,0,18.41,US,01/10/2023
Mahébourg,-20.4081,57.7,80.26,78,75,3.44,MU,01/10/2023
Carnarvon,-24.8667,113.6333,82.04,46,0,15.5,AU,01/10/2023
Innisfail,-17.5333,146.0333,83.82,68,100,2.8,AU,01/10/2023
Butaritari,3.0707,172.7902,81.39,74,16,12.84,KI,01/10/2023
Maryborough,-25.5333,152.7,87.3,41,34,11.45,AU,01/10/2023
Nouadhibou,20.931,-17.0347,64.38,42,0,11.5,MR,01/10/2023
Northam,51.0333,-4.2167,48.25,82,11,22.5,GB,01/10/2023
São João da Barra,-21.6403,-41.0511,74.71,93,98,14.34,BR,01/10/2023
Hofn,64.2539,-15.2082,37.08,73,100,16.04,IS,01/10/2023
Bredasdorp,-34.5322,20.0403,63.16,84,72,3.18,ZA,01/10/2023
Hermanus,-34.4187,19.2345,64.8,83,57,5.99,ZA,01/10/2023
Avarua,-21.2078,-159.775,78.85,94,100,6.91,CK,01/10/2023
Mogocha,53.7333,119.7667,14.56,88,100,2.42,RU,01/10/2023
Mar del Plata,-38.0023,-57.5575,71.1,90,0,17.0,AR,01/10/2023
Whitehorse,60.7161,-135.0538,9.37,85,75,17.27,CA,01/10/2023
Vestmannaeyjar,63.4427,-20.2734,35.94,70,100,7.11,IS,01/10/2023
Hamilton,39.1834,-84.5333,42.78,85,40,3.44,US,01/10/2023
Comodoro Rivadavia,-45.8667,-67.5,53.46,71,75,12.66,AR,01/10/2023
Port Alfred,-33.5906,26.891,71.19,97,15,4.09,ZA,01/10/2023
Puerto Ayora,-0.7393,-90.3518,70.56,91,13,1.01,EC,01/10/2023
Pangnirtung,66.1451,-65.7125,-25.87,84,4,3.96,CA,01/10/2023
Saskylakh,71.9167,114.0833,-52.64,100,92,3.06,RU,01/10/2023
Pemba,-12.974,40.5178,79.5,94,75,4.61,MZ,01/10/2023
Sindang,-7.0047,108.335,83.12,58,55,4.85,ID,01/10/2023
New Norfolk,-42.7826,147.0587,83.91,25,54,3.0,AU,01/10/2023
Kamenka,51.3223,42.7678,-0.56,79,6,12.62,RU,01/10/2023
Saint-Philippe,-21.3585,55.7679,81.99,78,74,9.75,RE,01/10/2023
Teguise,29.0605,-13.564,59.22,82,0,6.91,ES,01/10/2023
Guerrero Negro,27.9769,-114.0611,60.6,87,1,15.64,MX,01/10/2023
Miandrivazo,-19.5167,45.4667,78.82,77,38,2.46,MG,01/10/2023
Gualeguay,-33.1416,-59.3097,74.82,44,1,9.78,AR,01/10/2023
Bengkulu,-3.8004,102.2655,82.45,69,79,5.73,ID,01/10/2023
Hilo,19.7297,-155.09,77.29,79,75,6.91,US,01/10/2023
Kutulik,53.3508,102.7839,0.68,94,100,9.22,RU,01/10/2023
Nayoro,44.3506,142.4578,29.59,91,99,7.67,JP,01/10/2023
George Town,5.4112,100.3354,87.73,74,20,5.75,MY,01/10/2023
Bāfq,31.6128,55.4107,33.78,70,34,8.9,IR,01/10/2023
Fairbanks,64.8378,-147.7164,8.6,75,0,9.22,US,01/10/2023
Ponta do Sol,32.6667,-17.1,65.03,79,36,3.6,PT,01/10/2023
Norman Wells,65.282,-126.8329,1.44,85,100,2.3,CA,01/10/2023
Basco,20.4487,121.9702,76.21,71,50,19.15,PH,01/10/2023
Maniitsoq,65.4167,-52.9,9.14,78,44,9.71,GL,01/10/2023
Jalu,29.0331,21.5482,56.23,66,29,10.02,LY,01/10/2023
Orhei,47.3831,28.8231,26.78,72,100,14.74,MD,01/10/2023
Cabra,37.4725,-4.4421,47.21,86,5,2.17,ES,01/10/2023
Sergeevka,53.88,67.4158,0.48,94,100,10.65,KZ,01/10/2023
Warmbad,-28.45,18.7333,78.51,29,98,0.63,NA,01/10/2023
Deputatsky,69.3,139.9,-47.45,99,47,1.57,RU,01/10/2023
Smithers,54.7804,-127.1743,30.52,100,100,3.44,CA,01/10/2023
Peleduy,59.6289,112.7406,-7.96,87,100,10.22,RU,01/10/2023
Port Hedland,-20.3167,118.5667,91.45,58,5,12.66,AU,01/10/2023
Kahului,20.8947,-156.47,75.22,77,20,9.22,US,01/10/2023
Haicheng,40.8516,122.7475,40.69,43,75,13.89,CN,01/10/2023
Mersing,2.4312,103.8405,87.71,74,40,5.75,MY,01/10/2023
Española,35.9911,-106.0806,48.18,54,80,5.12,US,01/10/2023
Skibbereen,51.55,-9.2667,49.1,79,14,27.2,IE,01/10/2023
Atuona,-9.8,-139.0333,78.58,75,10,12.46,PF,01/10/2023
Tessalit,20.1986,1.0114,55.72,26,73,11.23,ML,01/10/2023
Zima,53.9202,102.0442,-2.67,93,100,5.79,RU,01/10/2023
Pitkyaranta,61.5734,31.4792,29.52,94,100,16.91,RU,01/10/2023
Saint George,37.1041,-113.5841,47.43,69,75,5.01,US,01/10/2023
Commerce City,39.8083,-104.9339,48.15,47,40,13.8,US,01/10/2023
Fomboni,-12.28,43.7425,81.72,71,50,4.52,KM,01/10/2023
Chapais,49.7834,-74.8492,-18.62,100,46,1.43,CA,01/10/2023
Bud,39.447,-86.1758,41.83,91,100,5.95,US,01/10/2023
Kirakira,-10.4544,161.9205,82.04,80,84,8.32,SB,01/10/2023
North Bend,43.4065,-124.2243,49.91,94,100,12.66,US,01/10/2023
Thompson,55.7435,-97.8558,6.96,92,75,4.61,CA,01/10/2023
Beyneu,45.3167,55.2,5.72,47,0,5.79,KZ,01/10/2023
Mananara,-16.1667,49.7667,77.34,86,94,1.3,MG,01/10/2023
Vila,42.0304,-8.1588,44.71,95,100,3.74,PT,01/10/2023
Iqaluit,63.7506,-68.5145,-16.87,69,75,11.5,CA,01/10/2023
Talnakh,69.4865,88.3972,-21.91,98,100,7.25,RU,01/10/2023
Tasiilaq,65.6145,-37.6368,12.36,55,47,4.74,GL,01/10/2023
Jumla,29.2747,82.1838,53.69,14,0,0.81,NP,01/10/2023
Flagstaff,35.1981,-111.6513,40.66,66,100,25.32,US,01/10/2023
Bethel,41.3712,-73.414,36.75,67,100,4.61,US,01/10/2023
Mapiripán,2.8892,-72.1256,73.74,89,96,3.69,CO,01/10/2023
Dire Dawa,9.5931,41.8661,65.19,68,27,2.98,ET,01/10/2023
Gatton,-27.55,152.2833,85.14,24,32,6.62,AU,01/10/2023
Leningradskiy,69.3833,178.4167,-20.42,99,60,9.28,RU,01/10/2023
Rusnė,55.2964,21.3758,37.02,87,100,7.7,LT,01/10/2023
Vila Franca do Campo,37.7167,-25.4333,55.81,80,83,5.82,PT,01/10/2023
East London,-33.0153,27.9116,72.54,94,100,3.44,ZA,01/10/2023
Katsuura,35.1333,140.3,48.22,51,96,4.79,JP,01/10/2023
Lorengau,-2.0226,147.2712,83.75,73,100,7.67,PG,01/10/2023
Lüderitz,-26.6481,15.1594,66.58,70,100,8.79,NA,01/10/2023
Arlit,18.7369,7.3853,54.57,26,1,5.7,NE,01/10/2023
Qaanaaq,77.484,-69.3632,-15.29,96,100,4.83,GL,01/10/2023
Half Moon Bay,37.4636,-122.4286,55.31,84,100,12.66,US,01/10/2023
Zhezkazgan,47.8043,67.7144,-20.22,76,20,6.71,KZ,01/10/2023
Hithadhoo,-0.6,73.0833,81.52,76,59,12.28,MV,01/10/2023
Leshukonskoye,64.8989,45.7622,11.43,94,100,9.51,RU,01/10/2023
Honningsvåg,70.9821,25.9704,28.15,74,100,19.57,NO,01/10/2023
Nantucket,41.2835,-70.0995,38.14,69,100,9.22,US,01/10/2023
Camacha,33.0833,-16.3333,60.22,82,75,3.44,PT,01/10/2023
Talavera de la Reina,39.9635,-4.8308,46.31,91,100,1.77,ES,01/10/2023
Pevek,69.7008,170.3133,-16.42,99,100,3.15,RU,01/10/2023
Lebu,-37.6167,-73.65,54.82,72,0,19.8,CL,01/10/2023
Meulaboh,4.1363,96.1285,82.09,69,100,1.48,ID,01/10/2023
Quaraí,-30.3875,-56.4514,75.29,49,16,7.76,BR,01/10/2023
Karratha,-20.7377,116.8463,97.39,31,0,6.51,AU,01/10/2023
Muskegon,43.3,-86.1334,35.94,86,40,12.66,US,01/10/2023
São Sebastião,-23.76,-45.4097,73.17,93,100,2.91,BR,01/10/2023
Yurimaguas,-5.9,-76.0833,72.93,93,81,0.74,PE,01/10/2023
Longyearbyen,78.2186,15.6401,31.84,93,100,5.75,SJ,01/10/2023
Nikolskoye,59.7035,30.7861,28.29,90,100,12.01,RU,01/10/2023
Labuhan,-6.8844,112.2051,86.0,64,81,6.35,ID,01/10/2023
Telde,27.9924,-15.4192,66.42,77,40,13.8,ES,01/10/2023
Maku,39.2911,44.4521,21.34,78,8,1.43,IR,01/10/2023
Qaqortoq,60.7167,-46.0333,19.51,66,100,8.99,GL,01/10/2023
Muros,42.7762,-9.0603,52.09,95,90,8.72,ES,01/10/2023
Castro,-24.7911,-50.0119,61.2,97,100,3.38,BR,01/10/2023
Togul,53.465,85.9128,-12.01,96,100,9.75,RU,01/10/2023
Saldanha,-33.0117,17.9442,57.25,89,16,8.63,ZA,01/10/2023
Nālūt,30.3333,10.85,47.66,58,0,6.46,LY,01/10/2023
Atar,20.5169,-13.0499,68.67,10,100,13.71,MR,01/10/2023
Benguela,-12.5763,13.4055,74.97,79,100,4.59,AO,01/10/2023
Tiznit Province,29.5833,-9.5,57.18,61,100,1.95,MA,01/10/2023
Cockburn Town,21.4612,-71.1419,77.13,76,4,13.15,TC,01/10/2023
Tazovsky,67.4667,78.7,-39.8,99,33,6.51,RU,01/10/2023
Vao,-22.6667,167.4833,76.17,66,8,13.2,NC,01/10/2023
Lagoa,39.05,-27.9833,58.44,66,6,16.11,PT,01/10/2023
Severo-Kuril'sk,50.6789,156.125,21.07,67,67,24.07,RU,01/10/2023
Karnāl,29.6833,76.9833,56.55,50,96,4.9,IN,01/10/2023
Jiayuguan City,39.8167,98.3,32.38,25,94,3.29,CN,01/10/2023
Kalabo,-14.97,22.6814,64.09,92,100,3.51,ZM,01/10/2023
Peniche,39.3558,-9.3811,59.56,91,100,15.55,PT,01/10/2023
Ararat,39.8317,44.7049,25.14,63,6,3.83,AM,01/10/2023
Bonthe,7.5264,-12.505,76.14,89,2,2.71,SL,01/10/2023
Caucayá,-0.1934,-74.7819,72.23,95,96,2.84,CO,01/10/2023
Tatvan,38.5067,42.2817,21.29,86,15,5.23,TR,01/10/2023
Oistins,13.0667,-59.5333,78.89,78,75,13.8,BB,01/10/2023
Manta,-0.95,-80.7333,76.78,73,75,3.44,EC,01/10/2023
Kruisfontein,-34.0033,24.7314,66.88,86,48,3.15,ZA,01/10/2023
Tiksi,71.6872,128.8694,-40.18,100,93,3.24,RU,01/10/2023
Faanui,-16.4833,-151.75,80.78,72,100,13.91,PF,01/10/2023
Arraial do Cabo,-22.9661,-42.0278,73.87,94,95,12.15,BR,01/10/2023
Saint-Joseph,-21.3667,55.6167,80.98,76,84,3.85,RE,01/10/2023
Ilulissat,69.2167,-51.1,-13.43,99,99,4.99,GL,01/10/2023
Poum,-20.2333,164.0167,79.39,60,92,12.55,NC,01/10/2023
Kavieng,-2.5744,150.7967,83.91,70,89,4.63,PG,01/10/2023
Gamba,-2.65,10.0,76.3,87,82,5.53,GA,01/10/2023
Safranbolu,41.2508,32.6942,37.38,69,95,3.98,TR,01/10/2023
Nerchinskiy Zavod,51.3088,119.61,8.01,93,86,3.29,RU,01/10/2023
Xichang,27.8964,102.2634,55.6,49,0,3.69,CN,01/10/2023
Kalmunai,7.4167,81.8167,76.42,71,96,9.24,LK,01/10/2023
High Level,58.5169,-117.136,14.11,100,100,3.44,CA,01/10/2023
Cairns,-16.9167,145.7667,95.07,72,40,8.05,AU,01/10/2023
San Quintín,30.4833,-115.95,60.04,91,37,7.4,MX,01/10/2023
Muriti,-1.9833,32.9167,70.16,77,100,14.38,TZ,01/10/2023
Grand Gaube,-20.0064,57.6608,80.38,74,10,5.01,MU,01/10/2023
Vostok,46.4856,135.8833,19.76,81,94,3.29,RU,01/10/2023
Takoradze,4.8845,-1.7554,77.14,88,82,2.28,GH,01/10/2023
Swan Hill,-35.3378,143.5544,98.2,11,13,9.98,AU,01/10/2023
Kloulklubed,7.0419,134.2556,81.1,80,100,18.7,PW,01/10/2023
Porto-Novo,6.4965,2.6036,72.91,88,2,4.34,BJ,01/10/2023
Brooks,50.5834,-111.8851,10.38,90,22,3.44,CA,01/10/2023
Cayenne,4.9333,-52.3333,75.24,94,75,3.44,GF,01/10/2023
Fereydūnkenār,36.6864,52.5225,38.75,61,18,11.65,IR,01/10/2023
Maningrida,-12.0667,134.2667,89.22,60,98,10.51,AU,01/10/2023
Haines Junction,60.7522,-137.5108,-6.84,100,100,0.96,CA,01/10/2023
Hojāi,26.0,92.8667,66.34,56,0,3.83,IN,01/10/2023
Imbituba,-28.24,-48.6703,71.6,93,100,9.48,BR,01/10/2023
Diamantino,-14.4086,-56.4461,71.06,97,100,3.98,BR,01/10/2023
Starkville,33.4504,-88.8184,53.67,99,20,4.61,US,01/10/2023
Margate,51.3813,1.3862,47.88,83,92,4.0,GB,01/10/2023
Albanel,48.8832,-72.4487,3.34,85,10,10.36,CA,01/10/2023
Namatanai,-3.6667,152.4333,83.43,73,95,3.4,PG,01/10/2023
Saint-Pierre,-21.3393,55.4781,82.08,65,40,3.44,RE,01/10/2023
Vernon,50.2581,-119.2691,37.29,88,100,3.44,CA,01/10/2023
Ranong,9.9658,98.6348,85.93,61,68,0.72,TH,01/10/2023
Dunnville,42.9001,-79.6163,32.68,89,73,3.0,CA,01/10/2023
Marsá Maţrūḩ,31.3525,27.2453,56.43,72,73,17.74,EG,01/10/2023
Saint Paul Harbor,57.79,-152.4072,31.51,93,100,3.44,US,01/10/2023
Gao,16.6362,1.637,57.13,24,34,14.88,ML,01/10/2023
Tamiahua,21.2667,-97.45,69.93,93,3,6.42,MX,01/10/2023
Galiākot,23.5167,74.0,68.34,46,0,3.47,IN,01/10/2023
Nyurba,63.2842,118.3319,-36.78,97,78,5.79,RU,01/10/2023
Asău,46.4333,26.4,36.52,98,100,6.73,RO,01/10/2023
Thanh Hoa,19.8,105.7667,66.97,88,99,1.79,VN,01/10/2023
Verkhniye Tatyshly,56.2912,55.8575,-14.19,99,100,7.38,RU,01/10/2023
Yuli,9.6989,10.2744,62.35,39,100,6.06,NG,01/10/2023
Cherskiy,68.75,161.3,-26.66,100,100,1.61,RU,01/10/2023
Malinovoye Ozero,51.6753,79.7825,-13.29,91,89,9.6,RU,01/10/2023
Umeå,63.8284,20.2597,28.33,93,100,4.61,SE,01/10/2023
Ust'-Shonosha,61.1531,41.343,16.7,88,100,14.36,RU,01/10/2023
Sola,-13.8833,167.55,79.23,82,100,12.26,VU,01/10/2023
Verkhnevilyuysk,63.4453,120.3167,-32.93,93,95,6.22,RU,01/10/2023
Cabo San Lucas,22.8909,-109.9124,70.52,69,0,9.78,MX,01/10/2023
Lixouri,38.2019,20.4314,54.57,71,91,22.24,GR,01/10/2023
Katete,-0.7818,29.7544,62.67,75,97,3.47,UG,01/10/2023
Chara,56.9064,118.2631,0.23,82,53,0.96,RU,01/10/2023
Airai,-8.9266,125.4092,70.07,74,82,2.39,TL,01/10/2023
Pitimbu,-7.4706,-34.8086,77.59,81,49,7.96,BR,01/10/2023
Mount Gambier,-37.8333,140.7667,82.89,25,100,9.57,AU,01/10/2023
Barra,-11.0894,-43.1417,76.32,69,70,3.24,BR,01/10/2023
Zhigansk,66.7697,123.3711,-27.18,99,100,7.94,RU,01/10/2023
Kiunga,-6.1219,141.2906,83.21,70,96,3.36,PG,01/10/2023
Alofi,-19.0595,-169.9187,75.09,94,100,12.66,NU,01/10/2023
Moroto,2.5345,34.6666,65.21,61,24,3.02,UG,01/10/2023
Tauá,-5.9667,-40.3,73.4,65,75,6.89,BR,01/10/2023
Cairo,30.0626,31.2497,54.36,76,100,0.0,EG,01/10/2023
Praia da Vitória,38.7333,-27.0667,56.75,100,40,11.03,PT,01/10/2023
Scarborough,54.2797,-0.4044,44.92,82,25,10.0,GB,01/10/2023
Chui,-33.6971,-53.4616,66.16,93,9,2.86,UY,01/10/2023
Denpasar,-8.65,115.2167,87.46,74,40,12.66,ID,01/10/2023
Jacareacanga,-6.2222,-57.7528,68.85,98,99,1.45,BR,01/10/2023
Beibei,29.8256,106.4339,54.07,66,100,1.43,CN,01/10/2023
Linxia Chengguanzhen,35.6003,103.2064,39.42,26,36,3.04,CN,01/10/2023
Chanika,-5.4167,38.0167,66.63,97,94,2.44,TZ,01/10/2023
Kysyl-Syr,63.8986,122.7617,-35.07,96,96,6.04,RU,01/10/2023
Kangasala,61.4638,24.076,36.14,100,100,8.99,FI,01/10/2023
Biak,-0.9131,122.8766,82.99,66,100,1.63,ID,01/10/2023
Codrington,-38.2667,141.9667,75.22,53,54,12.19,AU,01/10/2023
Tarabha,20.7333,83.65,72.0,25,0,2.1,IN,01/10/2023
Lavrentiya,65.5833,-171.0,-14.87,88,9,10.67,RU,01/10/2023
Koungou,-12.7336,45.2042,80.31,83,0,2.3,YT,01/10/2023
Kaitangata,-46.2817,169.8464,60.64,53,52,11.14,NZ,01/10/2023
Pershotravneve,51.3929,28.8684,23.04,92,100,11.48,UA,01/10/2023
Provincia di Grosseto,42.8333,11.25,46.0,93,0,4.61,IT,01/10/2023
Itaituba,-4.2761,-55.9836,70.65,99,100,1.23,BR,01/10/2023
Ankazoabo,-22.2833,44.5167,73.13,87,30,2.42,MG,01/10/2023
